category_id,category_name
sr:category:181,Hopman Cup
sr:category:3,ATP
sr:category:72,Challenger
sr:category:6,WTA
sr:category:76,Davis Cup
sr:category:74,Federation Cup
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:72,Challenger
sr:category:72,Challenger
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:6,WTA
sr:category:6,WTA
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
sr:category:3,ATP
